#Scan:    100            N1530 2021-09-20 +07 35 52.0
#          RADIO                  Ta    
#        km/s-BAR                 I
    1583.9420615948333761      0.0366371
    1586.9611359277539577      0.0432233
    1589.9802102607079632      0.0290001
    1592.9992845936285448      0.0440801
    1596.0183589265823230      0.0543762
    1599.0374332594697080      0.0473352
    1602.0565075924234861      0.0384428
    1605.0755819253442951      0.0456922
    1608.0946562582980732      0.0424298
    1611.1137305912186548      0.0425365
    1614.1328049241726603      0.0481879
    1617.1518792570598180      0.0467075
    1620.1709535899803996      0.0498047
    1623.1900279229344051      0.0476288
    1626.2091022558881832      0.0535821
    1629.2281765888089922      0.0479179
    1632.2472509217627703      0.0509692
    1635.2663252546833519      0.0498148
    1638.2853995875707369      0.0433682
    1641.3044739205245151      0.0351719
    1644.3235482534450966      0.0321414
    1647.3426225863991021      0.0444953
    1650.3616969193528803      0.0287195
    1653.3807712522736892      0.0435320
    1656.3998455851608469      0.0370589
    1659.4189199181148524      0.0361171
    1662.4379942510354340      0.0335559
    1665.4570685839892121      0.0472647
    1668.4761429169432176      0.0399265
    1671.4952172498637992      0.0419647
    1674.5142915828175774      0.0271467
    1677.5333659157049624      0.0342558
    1680.5524402486255440      0.0394358
    1683.5715145815795495      0.0517878
    1686.5905889145001311      0.0504263
    1689.6096632474539092      0.0456801
    1692.6287375804079147      0.0454236
    1695.6478119133284963      0.0541427
    1698.6668862462158813      0.0346700
    1701.6859605791696595      0.0442623
    1704.7050349120902411      0.0586859
    1707.7241092450442466      0.0567269
    1710.7431835779980247      0.0587688
    1713.7622579109186063      0.0554663
    1716.7813322438059913      0.0434569
    1719.8004065767597695      0.0552564
    1722.8194809096805784      0.0467317
    1725.8385552426343565      0.0523241
    1728.8576295755549381      0.0528289
    1731.8767039085089436      0.0473237
    1734.8957782414627218      0.0397238
    1737.9148525743501068      0.0422708
    1740.9339269072706884      0.0291445
    1743.9530012402244665      0.0334223
    1746.9720755731452755      0.0298651
    1749.9911499060990536      0.0464097
    1753.0102242390196352      0.0387028
    1756.0292985719402168      0.0410667
    1759.0483729048607984      0.0355610
    1762.0674472378148039      0.0577568
    1765.0865215707353855      0.0362991
    1768.1055959036891636      0.0379871
    1771.1246702366099726      0.0416862
    1774.1437445695637507      0.0365972
    1777.1628189024511357      0.0325590
    1780.1818932354049139      0.0402456
    1783.2009675683254954      0.0266100
    1786.2200419012795010      0.0428953
    1789.2391162342000825      0.0529818
    1792.2581905671538607      0.0371039
    1795.2772649000746696      0.0314423
    1798.2963392329618273      0.0344050
    1801.3154135659158328      0.0401442
    1804.3344878988696109      0.0354384
    1807.3535622317901925      0.0403738
    1810.3726365647441980      0.0294566
    1813.3917108976647796      0.0404740
    1816.4107852305523920      0.0424802
    1819.4298595635061702      0.0268324
    1822.4489338964599483      0.0366621
    1825.4680082293807573      0.0394487
    1828.4870825623345354      0.0485305
    1831.5061568952551170      0.0405781
    1834.5252312282091225      0.0478674
    1837.5443055610965075      0.0393467
    1840.5633798940170891      0.0372614
    1843.5824542269708672      0.0553644
    1846.6015285599248728      0.0473679
    1849.6206028928454543      0.0494126
    1852.6396772257992325      0.0368388
    1855.6587515586866175      0.0465112
    1858.6778258916071991      0.0379625
    1861.6969002245612046      0.0432480
    1864.7159745574817862      0.0411110
    1867.7350488904355643      0.0360529
    1870.7541232233895698      0.0468393
    1873.7731975563101514      0.0445343
    1876.7922718891973091      0.0524906
    1879.8113462221513146      0.0352230
    1882.8304205550718962      0.0397453
    1885.8494948880259017      0.0293580
    1888.8685692209796798      0.0482974
    1891.8876435539002614      0.0452566
    1894.9067178867876464      0.0374568
    1897.9257922197414246      0.0365769
    1900.9448665526620061      0.0373453
    1903.9639408856160117      0.0471696
    1906.9830152185365932      0.0512121
    1910.0020895514905988      0.0368503
    1913.0211638844443769      0.0487012
    1916.0402382173317619      0.0262535
    1919.0593125502523435      0.0409209
    1922.0783868832061216      0.0457442
    1925.0974612161267032      0.0475459
    1928.1165355490807087      0.0498966
    1931.1356098820344869      0.0414535
    1934.1546842149552958      0.0339147
    1937.1737585478424535      0.0447755
    1940.1928328807964590      0.0428501
    1943.2119072137170406      0.0378784
    1946.2309815466708187      0.0308854
    1949.2500558795914003      0.0398029
    1952.2691302125454058      0.0387848
    1955.2882045454327908      0.0262018
    1958.3072788783865690      0.0389399
    1961.3263532113071506      0.0359233
    1964.3454275442611561      0.0334345
    1967.3645018771817377      0.0353151
    1970.3835762101355158      0.0252866
    1973.4026505430560974      0.0382602
    1976.4217248759769063      0.0485257
    1979.4407992088974879      0.0356986
    1982.4598735418512661      0.0322563
    1985.4789478747718476      0.0285075
    1988.4980222077258531      0.0303373
    1991.5170965406464347      0.0358781
    1994.5361708735335924      0.0510920
    1997.5552452064875979      0.0315047
    2000.5743195394416034      0.0404482
    2003.5933938723621850      0.0408962
    2006.6124682053159631      0.0313535
    2009.6315425382365447      0.0293304
    2012.6506168711905502      0.0355491
    2015.6696912040777079      0.0288489
    2018.6887655369982895      0.0378112
    2021.7078398699522950      0.0269930
    2024.7269142029063005      0.0252635
    2027.7459885358268821      0.0262767
    2030.7650628687806602      0.0384700
    2033.7841372017012418      0.0397811
    2036.8032115345886268      0.0256248
    2039.8222858675424050      0.0363750
    2042.8413602004964105      0.0369718
    2045.8604345334169921      0.0265614
    2048.8795088663709976      0.0405078
    2051.8985831992913518      0.0294642
    2054.9176575321789642      0.0320807
    2057.9367318651325149      0.0420464
    2060.9558061980533239      0.0403534
    2063.9748805310073294      0.0379074
    2066.9939548639608802      0.0261779
    2070.0130291968816891      0.0432017
    2073.0321035298356946      0.0385195
    2076.0511778627233070      0.0352720
    2079.0702521956436613      0.0245883
    2082.0893265285976668      0.0392659
    2085.1084008615516723      0.0444211
    2088.1274751944720265      0.0300425
    2091.1465495274260320      0.0307068
    2094.1656238603131897      0.0342309
    2097.1846981932339986      0.0292120
    2100.2037725261880041      0.0408088
    2103.2228468591083583      0.0415032
    2106.2419211920619091      0.0296808
    2109.2609955250159146      0.0350885
    2112.2800698579367236      0.0290326
    2115.2991441908243360      0.0295913
    2118.3182185237778867      0.0218130
    2121.3372928566982409      0.0343221
    2124.3563671896522465      0.0393269
    2127.3754415225730554      0.0375918
    2130.3945158555270609      0.0318660
    2133.4135901884810664      0.0285894
    2136.4326645213682241      0.0374690
    2139.4517388542885783      0.0434522
    2142.4708131872425838      0.0391495
    2145.4898875201633928      0.0503967
    2148.5089618531173983      0.0463012
    2151.5280361860709490      0.0265433
    2154.5471105189585614      0.0330576
    2157.5661848518789157      0.0381219
    2160.5852591848324664      0.0193296
    2163.6043335177537301      0.0082868
    2166.6234078507072809      0.0262603
    2169.6424821836276351      0.0401146
    2172.6615565165816406      0.0246086
    2175.6806308494687983      0.0336682
    2178.6997051824228038      0.0313527
    2181.7187795153436127      0.0333007
    2184.7378538482976182      0.0215189
    2187.7569281812179725      0.0262808
    2190.7760025141719780      0.0400324
    2193.7950768470595904      0.0354380
    2196.8141511800131411      0.0494878
    2199.8332255129339501      0.0442743
    2202.8522998458879556      0.0292911
    2205.8713741788087646      0.0384236
    2208.8904485117627701      0.0360792
    2211.9095228446831243      0.0373824
