# FILENAME=Skynet_59472_ngc3976_group2_62119_10949.A.onoff.cal.txt
# BASENAME=Skynet_59472_ngc3976_group2_62119_10949
# CONTROL=SKYNET
# PROJCODE=Skynet_59472_ngc3976_group2_62119
# DATAROOT=/raid/scratch/cyborg/SkynetData
# DATADIR=/raid/scratch/cyborg
# DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59472_ngc3976_group2_621
# SCANNAME=2019_06_26_10
# SRC_NAME=ngc3976_group2
# OBSERVER=sdss2_39397
# DATE_OBS=2021-09-15T20:02:59.190
# OBSID=62119
# SCANNUM=10949
# MJD=59472.8354073
# UTC=72179
# SCANTYPE=onoff
# DATAMODE=HIRES
# RECEIVER=Rx1_2
# OBSFREQ=1409.7000
# Actual_FREQ1=1653.7000,
# Actual_FREQ2=1403.7000
# LO1Tuning=6978.7000
# RFFILTER=1300_1800
# OBSBW=-15.6250
# EFFBANDW=15.6250
# NCHAN=1024
# STARTCHAN=51
# STOPCHAN=972
# TINT=0.3000
# TBIN=0.00419430
# ACCLEN=2048
# DURATION=602.10
# EXPOSURE=581.92
# FOCUS=37.027
# RA,DEC=11:56:09.57, 06:44:57.49
# RA(deg)=180.49900
# DEC(deg)=6.74924
# WIDTH(deg)=3.0239x0.0390
# AZIM(deg)=234.9069
# ELEV(deg)=44.1079
# COORDREF=RA_DEC_
# HREF=178.9890
# VREF=6.7492
# RADESYS=FK5
# OFFSYS=RADEC
# EQUINOX=2000.00
# IFATTENS=31.00, 16.00
# BALANCELEV=1.200
# POWER_XLYR=[1.32, 1.18]
# VELDEF=RADI-OBS
# VELOCITY=0.000
# NPOL=2
# POLMODE=Linear
# POLTYPE=XXYY
# WARNING=None
# NOISECAL=HI
# PRECAL=2
# POSTCAL=2
# CRYOTEMP=17
# BOXTEMP=29
# TSYS=XX1:59.30, YY1:61.26
# TSYS=XX2:67.97, YY2:106.71
# TCAL=XX1:9.42, YY1:11.79
# TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra: Tsys*(ON-OFF)/OFF
# 
# 
# Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2
col1 col2 col3
1410.7343 3.7399 1.0998
1410.71904 3.8901 1.1781
1410.70378 3.7888 1.2517
1410.68853 3.7754 1.2238
1410.67327 3.6841 1.3274
1410.65801 3.7321 1.2116
1410.64275 3.7304 1.0218
1410.62749 3.7927 1.1747
1410.61223 3.8079 1.2078
1410.59697 3.7987 1.31
1410.58171 3.843 1.3529
1410.56646 3.7993 1.3986
1410.5512 3.7752 1.2707
1410.53594 3.825 1.3405
1410.52068 3.766 1.2112
1410.50542 3.8631 1.2632
1410.49016 3.8641 1.368
1410.4749 3.8023 1.4236
1410.45964 3.8304 1.3632
1410.44438 3.8455 1.3812
1410.42913 3.8268 1.4626
1410.41387 3.733 1.4719
1410.39861 3.9566 1.5557
1410.38335 3.8159 1.4625
1410.36809 3.8884 1.4596
1410.35283 3.9259 1.532
1410.33757 3.9552 1.6204
1410.32231 3.8534 1.4936
1410.30706 3.8549 1.5919
1410.2918 3.885 1.5421
1410.27654 4.0453 1.5292
1410.26128 3.873 1.5412
1410.24602 3.9242 1.6622
1410.23076 3.9953 1.6605
1410.2155 3.9797 1.7603
1410.20024 3.9865 1.6936
1410.18499 3.9638 1.5981
1410.16973 4.012 1.8156
1410.15447 3.9804 1.7837
1410.13921 4.118 1.7421
1410.12395 4.0566 1.7564
1410.10869 4.1151 1.8256
1410.09343 4.0476 1.814
1410.07817 4.0156 1.8487
1410.06292 4.0623 1.8507
1410.04766 4.0407 1.7752
1410.0324 4.2076 1.8391
1410.01714 4.1514 1.8217
1410.00188 4.1198 1.9903
1409.98662 4.1175 2.0452
1409.97136 4.1414 1.9526
1409.9561 4.1671 2.0583
1409.94084 4.1543 2.055
1409.92559 4.1683 1.9599
1409.91033 4.1199 2.1103
1409.89507 4.2254 2.0878
1409.87981 4.2598 2.0641
1409.86455 4.2381 2.0887
1409.84929 4.3102 2.0539
1409.83403 4.3029 1.9502
1409.81877 4.1905 2.178
1409.80352 4.2706 2.1217
1409.78826 4.3973 2.2958
1409.773 4.3017 2.2501
1409.75774 4.3338 2.2711
1409.74248 4.2911 2.3435
1409.72722 4.3093 2.2043
1409.71196 4.3745 2.1881
1409.6967 4.3941 2.292
1409.68145 4.3399 2.3608
1409.66619 4.4029 2.4176
1409.65093 4.4496 2.4229
1409.63567 4.4246 2.3607
1409.62041 4.3092 2.397
1409.60515 4.4663 2.5027
1409.58989 4.4908 2.5128
1409.57463 4.4115 2.3891
1409.55938 4.5432 2.4601
1409.54412 4.5882 2.4918
1409.52886 4.5897 2.5976
1409.5136 4.416 2.5643
1409.49834 4.4724 2.6231
1409.48308 4.4961 2.7048
1409.46782 4.5911 2.6098
1409.45256 4.5548 2.5508
1409.4373 4.6448 2.7049
1409.42205 4.5484 2.6353
1409.40679 4.6962 2.586
1409.39153 4.6237 2.6868
1409.37627 4.745 2.7452
1409.36101 4.6308 2.7631
1409.34575 4.6502 2.7091
1409.33049 4.6608 2.8637
1409.31523 4.6322 2.7595
1409.29998 4.7056 2.9177
1409.28472 4.7309 2.7802
1409.26946 4.6816 2.9618
1409.2542 4.7615 2.9564
1409.23894 4.711 2.8662
1409.22368 4.7291 2.927
1409.20842 4.7517 2.9775
1409.19316 4.7931 3.0012
1409.17791 4.7757 2.8487
1409.16265 4.8261 3.0044
1409.14739 4.799 3.0308
1409.13213 4.8775 3.0607
1409.11687 4.8567 3.0416
1409.10161 4.8913 3.1658
1409.08635 4.8598 3.1893
1409.07109 4.8912 3.1897
1409.05583 4.9275 3.1744
1409.04058 4.9503 3.2602
1409.02532 4.8229 3.7394
1409.01006 4.8478 3.2217
1408.9948 4.9595 3.1369
1408.97954 4.8795 3.3246
1408.96428 4.9322 3.316
1408.94902 4.9593 3.4354
1408.93376 5.083 3.3246
1408.91851 4.9686 3.3094
1408.90325 4.9813 3.3935
1408.88799 4.9991 3.3335
1408.87273 5.0382 3.3276
1408.85747 5.0559 3.4453
1408.84221 5.0229 3.4667
1408.82695 5.0542 3.6078
1408.81169 5.114 3.621
1408.79644 5.0948 3.4175
1408.78118 5.1646 3.633
1408.76592 5.1026 3.5788
1408.75066 5.1797 3.6143
1408.7354 5.1643 3.6985
1408.72014 5.1727 3.6665
1408.70488 5.1556 3.6603
1408.68962 5.1287 3.7781
1408.67437 5.1074 3.701
1408.65911 5.2066 3.742
1408.64385 5.2098 3.7564
1408.62859 5.1515 4.0002
1408.61333 5.2632 3.8341
1408.59807 5.2058 3.8239
1408.58281 5.2715 3.8938
1408.56755 5.2349 3.9067
1408.55229 5.2214 3.8775
1408.53704 5.2381 3.9115
1408.52178 5.2701 3.9789
1408.50652 5.2635 4.0949
1408.49126 5.2218 4.1278
1408.476 5.1912 4.1162
1408.46074 5.2424 4.1413
1408.44548 5.3025 4.0166
1408.43022 5.2957 4.1308
1408.41497 5.3039 4.0906
1408.39971 5.3085 4.1669
1408.38445 5.2948 4.1778
1408.36919 5.3021 4.3584
1408.35393 5.3366 4.2824
1408.33867 5.3641 4.4296
1408.32341 5.4049 4.3785
1408.30815 5.3967 4.2783
1408.2929 5.2999 4.3346
1408.27764 5.344 4.3628
1408.26238 5.4331 4.46
1408.24712 5.3725 4.5018
1408.23186 5.4344 4.4879
1408.2166 5.4078 4.5565
1408.20134 5.4574 4.486
1408.18608 5.4279 4.5862
1408.17083 5.4713 4.5807
1408.15557 5.457 4.5569
1408.14031 5.4455 4.5574
1408.12505 5.4171 4.6445
1408.10979 5.4997 4.6732
1408.09453 5.4777 4.6804
1408.07927 5.4769 4.7279
1408.06401 5.4908 4.7107
1408.04875 5.5457 4.6749
1408.0335 5.5478 4.7997
1408.01824 5.5201 4.7796
1408.00298 5.5305 4.8127
1407.98772 5.5729 4.9621
1407.97246 5.5001 4.8966
1407.9572 5.5291 4.9001
1407.94194 5.6125 4.9367
1407.92668 5.5178 5.0416
1407.91143 5.5985 4.8589
1407.89617 5.604 4.9228
1407.88091 5.6013 5.1602
1407.86565 5.6013 5.0419
1407.85039 5.5612 5.0352
1407.83513 5.5114 5.0902
1407.81987 5.5468 5.0528
1407.80461 5.5411 5.228
1407.78936 5.6244 5.1409
1407.7741 5.6261 5.0858
1407.75884 5.5997 5.2129
1407.74358 5.6564 5.2903
1407.72832 5.6271 5.2206
1407.71306 5.5504 5.2588
1407.6978 5.6628 5.3419
1407.68254 5.6019 5.3779
1407.66729 5.6392 5.4135
1407.65203 5.5904 5.3107
1407.63677 5.5312 5.312
1407.62151 5.5838 5.3926
1407.60625 5.6097 5.454
1407.59099 5.5935 5.5122
1407.57573 5.6685 5.4568
1407.56047 5.6109 5.4211
1407.54521 5.5608 5.5203
1407.52996 5.5305 5.3738
1407.5147 5.581 5.508
1407.49944 5.6324 5.5331
1407.48418 5.591 5.6121
1407.46892 5.5974 5.5859
1407.45366 5.6386 5.6039
1407.4384 5.6519 5.6395
1407.42314 5.5951 5.6387
1407.40789 5.5837 5.6478
1407.39263 5.5749 5.5958
1407.37737 5.602 5.7458
1407.36211 5.6088 5.7111
1407.34685 5.6731 5.7262
1407.33159 5.6111 5.7586
1407.31633 5.5604 5.858
1407.30107 5.5404 5.8761
1407.28582 5.5951 5.7767
1407.27056 5.5097 5.803
1407.2553 5.6039 5.7041
1407.24004 5.5767 5.8383
1407.22478 5.5836 5.8757
1407.20952 5.4658 5.9331
1407.19426 5.5442 5.9946
1407.179 5.5764 5.9723
1407.16375 5.5329 6.0189
1407.14849 5.5885 6.0413
1407.13323 5.5367 6.0574
1407.11797 5.537 5.9685
1407.10271 5.5375 5.9691
1407.08745 5.5792 6.0393
1407.07219 5.4673 6.0252
1407.05693 5.5265 6.1047
1407.04167 5.513 6.1513
1407.02642 5.5016 6.1522
1407.01116 5.4645 6.1321
1406.9959 5.477 6.1875
1406.98064 5.5573 6.2499
1406.96538 5.4585 6.0215
1406.95012 5.4213 6.1159
1406.93486 5.4093 6.1696
1406.9196 5.4109 6.333
1406.90435 5.4687 6.1563
1406.88909 5.4486 6.2965
1406.87383 5.4333 6.2927
1406.85857 5.4543 6.2487
1406.84331 5.3492 6.3825
1406.82805 5.4137 6.2195
1406.81279 5.3877 6.257
1406.79753 5.4277 6.3688
1406.78228 5.426 6.4502
1406.76702 5.4281 6.358
1406.75176 5.3339 6.436
1406.7365 5.3994 6.441
1406.72124 5.3421 6.4495
1406.70598 5.3045 6.4127
1406.69072 5.2984 6.4271
1406.67546 5.3024 6.4294
1406.66021 5.288 6.5315
1406.64495 5.2995 6.5645
1406.62969 5.2937 6.5867
1406.61443 5.1892 6.3845
1406.59917 5.2891 6.3701
1406.58391 5.1873 6.5082
1406.56865 5.2203 6.5772
1406.55339 5.2336 6.6167
1406.53813 5.2073 6.6238
1406.52288 5.2035 6.6462
1406.50762 5.2245 6.5553
1406.49236 5.2019 6.6698
1406.4771 5.1113 6.6616
1406.46184 5.1711 6.573
1406.44658 5.1338 6.5902
1406.43132 5.2017 6.5855
1406.41606 5.0997 6.6706
1406.40081 5.0353 6.7429
1406.38555 5.1592 6.7707
1406.37029 5.1392 6.7495
1406.35503 5.1285 6.7112
1406.33977 5.0341 6.7259
1406.32451 4.955 6.8246
1406.30925 5.069 6.7447
1406.29399 5.0522 6.6891
1406.27874 5.0149 6.8096
1406.26348 4.9553 6.7276
1406.24822 5.0356 6.8652
1406.23296 4.9382 6.8612
1406.2177 4.965 6.8852
1406.20244 4.9019 6.9645
1406.18718 4.9834 6.8386
1406.17192 4.8842 6.9523
1406.15667 4.9413 6.8169
1406.14141 4.9377 6.7309
1406.12615 4.8701 6.9083
1406.11089 4.8904 6.8768
1406.09563 4.8664 6.8146
1406.08037 4.8346 6.9158
1406.06511 4.7711 6.9495
1406.04985 4.7739 6.9239
1406.03459 4.8009 6.8568
1406.01934 4.7605 6.9717
1406.00408 4.6954 6.8938
1405.98882 4.684 6.9983
1405.97356 4.7605 6.9366
1405.9583 4.7135 6.8906
1405.94304 4.7028 6.8785
1405.92778 4.7415 6.9739
1405.91252 4.6541 6.7982
1405.89727 4.6519 6.9368
1405.88201 4.677 6.9507
1405.86675 4.6248 6.9198
1405.85149 4.5355 6.9553
1405.83623 4.614 6.8864
1405.82097 4.581 6.856
1405.80571 4.5865 6.8914
1405.79045 4.6234 6.915
1405.7752 4.4625 6.8738
1405.75994 4.492 6.8615
1405.74468 4.5396 6.9084
1405.72942 4.4563 6.9772
1405.71416 4.5609 7.0181
1405.6989 4.4906 6.9381
1405.68364 4.455 6.9078
