# FILENAME=Skynet_59472_ngc628_group2_62098_10938.A.onoff.cal.txt
# BASENAME=Skynet_59472_ngc628_group2_62098_10938
# CONTROL=SKYNET
# PROJCODE=Skynet_59472_ngc628_group2_62098
# DATAROOT=/raid/scratch/cyborg/SkynetData
# DATADIR=/raid/scratch/cyborg
# DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59472_ngc628_group2_6209
# SCANNAME=2019_06_26_10
# SRC_NAME=ngc628_group2
# OBSERVER=sdss2_39397
# DATE_OBS=2021-09-15T04:30:58.120
# OBSID=62098
# SCANNUM=10938
# MJD=59472.1881727
# UTC=16258
# SCANTYPE=onoff
# DATAMODE=HIRES
# RECEIVER=Rx1_2
# OBSFREQ=1417.3000
# Actual_FREQ1=1663.0000,
# Actual_FREQ2=1413.0000
# LO1Tuning=6988.0000
# RFFILTER=1300_1800
# OBSBW=-15.6250
# EFFBANDW=15.6250
# NCHAN=1024
# STARTCHAN=51
# STOPCHAN=972
# TINT=0.3000
# TBIN=0.00419430
# ACCLEN=2048
# DURATION=408.90
# EXPOSURE=388.75
# FOCUS=37.071
# RA,DEC=01:36:56.09, 15:47:00.32
# RA(deg)=25.73136
# DEC(deg)=15.78341
# WIDTH(deg)=3.0245x0.0172
# AZIM(deg)=108.3704
# ELEV(deg)=46.1033
# COORDREF=RA_DEC_
# HREF=24.1737
# VREF=15.7834
# RADESYS=FK5
# OFFSYS=RADEC
# EQUINOX=2000.00
# IFATTENS=29.00, 13.00
# BALANCELEV=1.200
# POWER_XLYR=[0.11, 0.13]
# VELDEF=RADI-OBS
# VELOCITY=0.000
# NPOL=2
# POLMODE=Linear
# POLTYPE=XXYY
# WARNING=None
# NOISECAL=HI
# PRECAL=2
# POSTCAL=2
# CRYOTEMP=17
# BOXTEMP=24
# TSYS=XX1:102.31, YY1:113.57
# TSYS=XX2:139.74, YY2:156.84
# TCAL=XX1:9.43, YY1:11.86
# TCAL=XX2:9.17, YY2:10.07
# Calibrated spectra: Tsys*(ON-OFF)/OFF
# 
# 
# Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2
col1 col2 col3
1420.0343 0.6658 0.1009
1420.01904 0.8851 0.0928
1420.00378 0.3633 0.061
1419.98853 0.716 -0.0245
1419.97327 0.6976 0.0717
1419.95801 0.686 0.0748
1419.94275 0.385 -0.1126
1419.92749 0.79 0.0009
1419.91223 0.6606 0.0381
1419.89697 0.359 -0.0577
1419.88171 0.4796 0.132
1419.86646 0.6968 0.0551
1419.8512 0.6947 0.0684
1419.83594 0.3266 0.0087
1419.82068 0.5298 -0.0795
1419.80542 0.5797 -0.1104
1419.79016 0.4715 0.1657
1419.7749 0.7335 -0.0291
1419.75964 0.6044 -0.1166
1419.74438 0.6256 0.0451
1419.72913 0.3563 -0.2007
1419.71387 0.4586 0.0117
1419.69861 0.6259 -0.0314
1419.68335 0.7144 0.2337
1419.66809 0.5768 0.1907
1419.65283 0.7063 -0.0554
1419.63757 0.5422 0.0848
1419.62231 0.4489 0.1127
1419.60706 0.4439 0.0174
1419.5918 0.6056 0.0001
1419.57654 0.5291 0.0554
1419.56128 0.4578 0.046
1419.54602 0.478 0.0449
1419.53076 0.5401 -0.0003
1419.5155 0.5877 -0.0074
1419.50024 0.608 -0.0409
1419.48499 0.5873 -0.0116
1419.46973 0.5039 0.4067
1419.45447 0.6441 0.3082
1419.43921 0.5683 0.119
1419.42395 0.4334 -0.0273
1419.40869 0.4648 0.1194
1419.39343 0.4791 0.1663
1419.37817 0.3766 -0.0953
1419.36292 0.576 -0.0032
1419.34766 0.385 0.0838
1419.3324 0.4923 0.1254
1419.31714 0.6112 0.2167
1419.30188 0.4857 0.143
1419.28662 0.3857 -0.0408
1419.27136 0.6064 0.2425
1419.2561 0.5578 -0.0202
1419.24084 0.4484 0.2031
1419.22559 0.4562 0.3647
1419.21033 0.4194 0.0338
1419.19507 0.5357 0.0547
1419.17981 0.362 0.2379
1419.16455 0.396 -0.0855
1419.14929 0.7709 -0.0398
1419.13403 0.2835 0.0578
1419.11877 0.5794 0.0983
1419.10352 0.6558 0.0238
1419.08826 0.4484 -0.0403
1419.073 0.4945 0.4583
1419.05774 0.5618 -0.0426
1419.04248 0.6334 0.189
1419.02722 0.5707 0.1584
