# FILENAME=Skynet_59472_ngc1530_group2_62102_10937.A.onoff.cal.txt
# BASENAME=Skynet_59472_ngc1530_group2_62102_10937
# CONTROL=SKYNET
# PROJCODE=Skynet_59472_ngc1530_group2_62102
# DATAROOT=/raid/scratch/cyborg/SkynetData
# DATADIR=/raid/scratch/cyborg
# DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59472_ngc1530_group2_621
# SCANNAME=2019_06_26_10
# SRC_NAME=ngc1530_group2
# OBSERVER=sdss2_39397
# DATE_OBS=2021-09-15T02:50:54.390
# OBSID=62102
# SCANNUM=10937
# MJD=59472.1186851
# UTC=10254
# SCANTYPE=onoff
# DATAMODE=HIRES
# RECEIVER=Rx1_2
# OBSFREQ=1408.8000
# Actual_FREQ1=1653.8000,
# Actual_FREQ2=1403.8000
# LO1Tuning=6978.8000
# RFFILTER=1300_1800
# OBSBW=-15.6250
# EFFBANDW=15.6250
# NCHAN=1024
# STARTCHAN=51
# STOPCHAN=972
# TINT=0.3000
# TBIN=0.00419430
# ACCLEN=2048
# DURATION=407.40
# EXPOSURE=389.05
# FOCUS=37.071
# RA,DEC=04:24:30.26, 75:17:45.96
# RA(deg)=71.77380
# DEC(deg)=75.29558
# WIDTH(deg)=3.0183x0.0154
# AZIM(deg)=15.0871
# ELEV(deg)=31.1952
# COORDREF=RA_DEC_
# HREF=65.8629
# VREF=75.2956
# RADESYS=FK5
# OFFSYS=RADEC
# EQUINOX=2000.00
# IFATTENS=30.00, 14.00
# BALANCELEV=1.200
# POWER_XLYR=[8.48, 8.66]
# VELDEF=RADI-OBS
# VELOCITY=0.000
# NPOL=2
# POLMODE=Linear
# POLTYPE=XXYY
# WARNING=None
# NOISECAL=HI
# PRECAL=2
# POSTCAL=2
# CRYOTEMP=17
# BOXTEMP=26
# TSYS=XX1:91.82, YY1:73.65
# TSYS=XX2:105.94, YY2:135.75
# TCAL=XX1:9.42, YY1:11.79
# TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra: Tsys*(ON-OFF)/OFF
# 
# 
# Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2
col1 col2 col3
1409.00325 -0.0723 -0.309
1408.98799 -0.222 -0.3466
1408.97273 -0.1662 -0.5856
1408.95747 -0.2487 -0.4975
1408.94221 0.0212 -0.4829
1408.92695 -0.0974 -0.6037
1408.91169 -0.061 -0.5979
1408.89644 -0.145 -0.4692
1408.88118 -0.1137 -0.5441
1408.86592 -0.0264 -0.5135
1408.85066 -0.1516 -0.5968
1408.8354 -0.1524 -0.5738
1408.82014 0.0791 -0.4153
1408.80488 -0.0228 -0.6716
1408.78962 -0.0386 -0.5692
1408.77437 0.001 -0.515
1408.75911 -0.0193 -0.4734
1408.74385 -0.0719 -0.4567
1408.72859 0.1172 -0.6207
1408.71333 -0.0515 -0.5851
1408.69807 0.0179 -0.5204
1408.68281 0.0536 -0.6651
1408.66755 -0.23 -0.7284
1408.65229 0.0046 -0.5914
1408.63704 -0.0763 -0.7112
1408.62178 -0.0621 -0.5006
1408.60652 -0.1309 -0.8021
1408.59126 0.0936 -0.7386
1408.576 -0.0191 -0.5854
1408.56074 -0.1166 -0.7065
1408.54548 -0.147 -0.6645
1408.53022 0.01 -0.7085
1408.51497 0.1253 -0.6445
1408.49971 -0.0813 -0.6204
1408.48445 -0.0578 -0.7808
1408.46919 0.0089 -0.7031
1408.45393 -0.1253 -0.4946
1408.43867 -0.0186 -0.6154
1408.42341 0.0436 -0.8219
1408.40815 0.0784 -0.6611
1408.3929 -0.0306 -0.7488
1408.37764 0.0688 -0.7589
1408.36238 0.0218 -0.7998
1408.34712 0.022 -0.7315
1408.33186 0.0713 -0.9404
1408.3166 -0.052 -0.6643
1408.30134 0.0126 -0.7852
1408.28608 -0.0118 -0.6766
1408.27083 0.1154 -0.9305
1408.25557 0.1521 -0.6539
1408.24031 0.0301 -0.7666
1408.22505 -0.0155 -0.7723
1408.20979 0.0721 -0.6109
1408.19453 -0.0341 -0.8164
1408.17927 0.0056 -0.9341
1408.16401 -0.053 -0.8076
1408.14875 0.0769 -1.059
1408.1335 0.0719 -0.9018
1408.11824 0.0685 -0.8716
1408.10298 -0.1643 -0.9192
1408.08772 -0.0973 -0.8793
1408.07246 -0.2107 -0.8141
1408.0572 -0.0189 -0.7544
1408.04194 0.0697 -0.7971
1408.02668 -0.0233 -0.8118
1408.01143 -0.169 -0.9963
1407.99617 0.0258 -0.8454
1407.98091 -0.1696 -0.9792
1407.96565 -0.0974 -0.8862
1407.95039 0.0235 -1.0029
1407.93513 -0.106 -0.9298
1407.91987 -0.0224 -0.9779
1407.90461 0.0274 -0.8884
1407.88936 0.014 -0.883
1407.8741 -0.0403 -0.9653
1407.85884 0.0126 -0.8105
1407.84358 -0.2022 -0.8595
1407.82832 -0.1478 -1.0427
1407.81306 -0.1442 -1.1781
1407.7978 -0.1785 -0.9957
1407.78254 -0.2206 -1.065
1407.76729 0.0396 -0.8081
1407.75203 -0.0134 -0.9095
1407.73677 0.0103 -0.8528
1407.72151 -0.0758 -0.9604
1407.70625 -0.063 -1.118
1407.69099 0.0373 -1.0192
1407.67573 -0.1944 -1.0918
1407.66047 -0.0537 -1.1097
1407.64521 -0.1549 -0.8912
1407.62996 -0.0911 -1.0673
1407.6147 -0.0299 -0.8579
1407.59944 -0.0655 -0.8924
1407.58418 0.0123 -1.1668
1407.56892 -0.0452 -0.9826
1407.55366 -0.0025 -1.0621
1407.5384 -0.1668 -1.0481
1407.52314 0.0022 -1.1217
1407.50789 0.0815 -1.0911
1407.49263 -0.0681 -1.0027
1407.47737 -0.1076 -1.0465
1407.46211 -0.0661 -0.9859
