#     FILENAME=Skynet_59472_ngc4565_group2_2_62127_10953.A.onoff.cal.txt
#     BASENAME=Skynet_59472_ngc4565_group2_2_62127_10953
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59472_ngc4565_group2_2_62127
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59472_ngc4565_group2_2_6
#     SCANNAME=2019_06_26_10
#     SRC_NAME=ngc4565_group2_2
#     OBSERVER=sdss2_39397
#     DATE_OBS=2021-09-15T20:53:13.170
#        OBSID=62127
#      SCANNUM=10953
#          MJD=59472.8702913
#          UTC=75193
#     SCANTYPE=onoff
#     DATAMODE=LOWRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
#    LO1Tuning=7000.0000
#     RFFILTER=1355_1435
#        OBSBW=-500.0000
#     EFFBANDW=80.0000
#        NCHAN=1024
#    STARTCHAN=747
#     STOPCHAN=911
#         TINT=0.3020
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=426.68
#     EXPOSURE=401.95
#        FOCUS=37.115
#       RA,DEC=12:36:39.65, 25:59:15.46
#      RA(deg)=190.75590
#     DEC(deg)=25.98740
#   WIDTH(deg)=3.0184x0.0098
#    AZIM(deg)=259.6244
#    ELEV(deg)=55.3465
#     COORDREF=RA_DEC_
#         HREF=189.0870
#         VREF=25.9874
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=21.00, 5.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[0.8, 0.67] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=3 
#      POSTCAL=3 
#     CRYOTEMP=17 
#      BOXTEMP=30 
#         TSYS=YY1:290.49, XX1:224.86
#         TCAL=YY1:9.92, XX1:9.15
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         YY1          XX1 
   1380.07812       3.8420      -1.8418 
   1379.58984       3.8028      -0.7204 
   1379.10156       3.8045       1.2868 
   1378.61328       1.2486       1.4786 
   1378.12500       0.9698       1.6613 
   1377.63672       2.5012       1.7867 
   1377.14844       4.4595       1.9550 
   1376.66016       4.5475       2.0176 
   1376.17188       4.4443       1.9974 
   1375.68359       4.5039       4.7286 
   1375.19531       4.3591       5.5344 
   1374.70703       3.9280       3.6615 
   1374.21875       3.3170       1.7050 
   1373.73047       2.8165       1.6760 
   1373.24219       2.3761       1.6098 
   1372.75391       2.0313       1.5755 
   1372.26562       1.8749       1.5409 
   1371.77734       1.7813       1.5734 
   1371.28906       1.7075       1.4565 
   1370.80078       3.6284       1.3737 
   1370.31250       5.8407       1.2796 
   1369.82422       5.0056       1.1627 
   1369.33594       1.8257      -1.3208 
   1368.84766       1.8610      -2.0300 
   1368.35938       1.7258      -0.7690 
   1367.87109       1.6701       0.6602 
   1367.38281       1.4498       0.6392 
   1366.89453       1.1780       0.7195 
   1366.40625       0.9972       0.8695 
   1365.91797       0.7041       1.0165 
   1365.42969       0.6682       1.2021 
   1364.94141       0.7477       1.3590 
   1364.45312       0.9501       1.6771 
   1363.96484       1.3899       1.8200 
   1363.47656       1.7459       2.1032 
   1362.98828       2.1774       2.3040 
   1362.50000       2.5987       2.5277 
   1362.01172       1.2765       5.0173 
   1361.52344       0.7288       5.4820 
   1361.03516       1.5252       3.7000 
   1360.54688       3.3552       2.9030 
   1360.05859       3.2846       2.8557 
   1359.57031       3.2593       2.7879 
   1359.08203       3.2225       2.5763 
   1358.59375       3.2191       2.0064 
   1358.10547       3.1381       1.6109 
   1357.61719       7.9349       1.1695 
   1357.12891       9.6586       0.8023 
   1356.64062       7.6943       0.5221 
   1356.15234       3.0253       0.3479 
   1355.66406       2.6857       0.3544 
