# FILENAME=Skynet_59473_ngc4559_group2_62147_10970.A.onoff.cal.txt
# BASENAME=Skynet_59473_ngc4559_group2_62147_10970
# CONTROL=SKYNET
# PROJCODE=Skynet_59473_ngc4559_group2_62147
# DATAROOT=/raid/scratch/cyborg/SkynetData
# DATADIR=/raid/scratch/cyborg
# DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59473_ngc4559_group2_621
# SCANNAME=2019_06_26_10
# SRC_NAME=ngc4559_group2
# OBSERVER=sdss2_39397
# DATE_OBS=2021-09-16T19:55:01.050
# OBSID=62147
# SCANNUM=10970
# MJD=59473.8298733
# UTC=71701
# SCANTYPE=onoff
# DATAMODE=HIRES
# RECEIVER=Rx1_2
# OBSFREQ=1420.1300
# Actual_FREQ1=1666.0000,
# Actual_FREQ2=1416.0000
# LO1Tuning=6991.0000
# RFFILTER=1300_1800
# OBSBW=-15.6250
# EFFBANDW=15.6250
# NCHAN=1024
# STARTCHAN=51
# STOPCHAN=972
# TINT=0.3000
# TBIN=0.00013107
# ACCLEN=2048
# DURATION=605.40
# EXPOSURE=582.52
# FOCUS=37.049
# RA,DEC=12:36:04.11, 27:57:35.18
# RA(deg)=190.68683
# DEC(deg)=27.95985
# WIDTH(deg)=3.0195x0.0204
# AZIM(deg)=250.2504
# ELEV(deg)=66.3597
# COORDREF=RA_DEC_
# HREF=188.9895
# VREF=27.9599
# RADESYS=FK5
# OFFSYS=RADEC
# EQUINOX=2000.00
# IFATTENS=30.00, 15.00
# BALANCELEV=1.200
# POWER_XLYR=[1.1, 0.7]
# VELDEF=RADI-OBS
# VELOCITY=0.000
# NPOL=2
# POLMODE=Linear
# POLTYPE=XXYY
# WARNING=None
# NOISECAL=HI
# PRECAL=2
# POSTCAL=2
# CRYOTEMP=16
# BOXTEMP=28
# TSYS=XX1:69.51, YY1:96.37
# TSYS=XX2:93.38, YY2:129.79
# TCAL=XX1:9.43, YY1:11.86
# TCAL=XX2:9.17, YY2:10.07
# Calibrated spectra: Tsys*(ON-OFF)/OFF
# 
# 
# Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2
col1 col2 col3
1419.5553 1.2608 1.3339
1419.54004 1.3236 1.3205
1419.52478 1.2144 1.2523
1419.50952 1.2186 1.3774
1419.49426 1.342 1.3428
1419.479 1.2023 1.3322
1419.46375 1.3425 1.189
1419.44849 1.3551 1.394
1419.43323 1.3147 1.1046
1419.41797 1.3476 1.2075
1419.40271 1.2891 1.1834
1419.38745 1.4094 1.1752
1419.37219 1.2387 1.0683
1419.35693 1.2564 1.1117
1419.34167 1.4479 1.3793
1419.32642 1.2829 1.2888
1419.31116 1.3734 1.3839
1419.2959 1.2326 1.1679
1419.28064 1.3992 1.2939
1419.26538 1.3707 1.1586
1419.25012 1.3654 1.2815
1419.23486 1.3578 1.1061
1419.2196 1.2618 1.2046
1419.20435 1.3917 1.1529
1419.18909 1.2532 1.0705
1419.17383 1.2961 1.116
1419.15857 1.3384 1.1806
1419.14331 1.2891 1.1517
1419.12805 1.3207 1.1806
1419.11279 1.3887 1.0841
1419.09753 1.2598 1.16
1419.08228 1.2176 1.1639
1419.06702 1.3165 1.1988
1419.05176 1.3086 1.1091
1419.0365 1.2801 1.1747
1419.02124 1.2712 1.1771
1419.00598 1.3083 1.2943
1418.99072 1.4151 1.2048
1418.97546 1.3936 1.3793
1418.96021 1.3841 1.1824
1418.94495 1.323 1.2309
1418.92969 1.2681 1.0861
1418.91443 1.2748 1.0967
1418.89917 1.2382 1.1903
1418.88391 1.4068 1.1955
1418.86865 1.3311 1.0303
1418.85339 1.3002 1.2079
1418.83813 1.3009 1.2533
1418.82288 1.2786 1.1375
1418.80762 1.343 1.1625
1418.79236 1.3974 1.1799
1418.7771 1.3304 1.2366
1418.76184 1.2414 1.1477
1418.74658 1.2594 1.1919
1418.73132 1.2328 1.2485
1418.71606 1.2678 1.2566
1418.70081 1.2478 1.1463
1418.68555 1.3182 1.1209
1418.67029 1.3382 1.2373
1418.65503 1.3115 1.1061
1418.63977 1.2758 1.021
1418.62451 1.2367 1.057
1418.60925 1.2121 1.1521
1418.59399 1.2913 1.0985
1418.57874 1.2807 1.0475
1418.56348 1.4337 1.1136
1418.54822 1.2503 1.0756
1418.53296 1.3453 0.9869
1418.5177 1.208 1.0612
1418.50244 1.3209 0.9896
1418.48718 1.2378 1.0738
1418.47192 1.2718 1.0289
1418.45667 1.2315 1.0936
1418.44141 1.357 1.1664
1418.42615 1.2608 1.062
1418.41089 1.121 0.966
1418.39563 1.2903 1.0853
1418.38037 1.2791 1.0557
1418.36511 1.2164 1.0201
1418.34985 1.2667 0.9846
1418.33459 1.3289 0.9162
1418.31934 1.2003 0.8936
1418.30408 1.275 0.9279
1418.28882 1.2507 0.9568
1418.27356 1.2553 1.0136
1418.2583 1.1756 1.024
1418.24304 1.2596 0.966
1418.22778 1.0795 1.0216
1418.21252 1.2871 1.0569
1418.19727 1.1655 0.7595
1418.18201 1.3339 0.9535
1418.16675 1.2577 0.91
1418.15149 1.2034 1.0573
1418.13623 1.1651 0.9962
1418.12097 1.2016 0.9508
1418.10571 1.2578 1.0425
1418.09045 1.2636 1.0127
1418.0752 1.2443 0.8602
1418.05994 1.1046 1.082
1418.04468 1.1443 0.833
1418.02942 1.1274 1.0026
1418.01416 1.1971 0.835
1417.9989 1.1447 0.9295
1417.98364 1.1731 0.837
1417.96838 1.3158 0.864
1417.95312 1.1992 0.7919
1417.93787 1.1502 0.8982
1417.92261 1.0843 0.8934
1417.90735 1.2479 0.8857
1417.89209 1.1843 0.8217
1417.87683 1.1898 0.7984
1417.86157 1.2305 0.8487
1417.84631 1.1162 0.8511
1417.83105 1.185 0.7982
1417.8158 1.183 0.8119
1417.80054 1.2113 0.6634
1417.78528 1.2097 0.7461
1417.77002 1.2353 0.8042
1417.75476 1.0969 0.8556
1417.7395 1.2007 0.7999
1417.72424 1.1615 0.939
1417.70898 1.0537 0.8128
1417.69373 1.1579 0.8136
1417.67847 1.1828 0.8484
1417.66321 1.187 0.9307
1417.64795 1.1231 0.9296
1417.63269 1.1025 0.7985
1417.61743 1.0754 0.7955
1417.60217 1.1699 0.7293
1417.58691 1.1262 0.7857
1417.57166 1.1151 0.7683
1417.5564 1.0829 0.7616
1417.54114 1.0136 0.7389
1417.52588 1.0701 0.7026
1417.51062 1.082 0.6615
1417.49536 1.0779 0.7855
1417.4801 1.0907 0.7173
1417.46484 1.1224 0.7632
1417.44958 1.1185 0.7612
1417.43433 1.0479 0.753
1417.41907 1.0207 0.7247
1417.40381 0.9656 0.7586
1417.38855 1.0762 0.6795
1417.37329 1.0073 0.6392
1417.35803 1.0439 0.6852
1417.34277 0.9936 0.7733
1417.32751 1.1189 0.6101
1417.31226 1.1137 0.68
1417.297 0.9726 0.7006
1417.28174 1.0344 0.7824
1417.26648 1.0348 0.7581
1417.25122 1.1135 0.7055
1417.23596 1.1298 0.5233
1417.2207 1.2297 0.613
1417.20544 1.1008 0.7345
1417.19019 0.9905 0.6462
1417.17493 1.2057 0.63
1417.15967 1.1315 0.6282
1417.14441 1.1483 0.6947
1417.12915 1.2163 0.7428
1417.11389 1.222 0.8823
1417.09863 1.2423 0.8485
1417.08337 1.333 0.911
1417.06812 1.3468 1.0993
1417.05286 1.3178 1.0677
1417.0376 1.2398 0.9999
1417.02234 1.3422 1.0709
1417.00708 1.2538 0.9766
1416.99182 1.2588 1.1221
1416.97656 1.3301 1.0208
1416.9613 1.3106 0.9924
1416.94604 1.2425 0.89
1416.93079 1.2829 0.8826
1416.91553 1.1853 0.8569
1416.90027 1.1599 0.9279
1416.88501 1.2536 0.8504
1416.86975 1.2 0.7459
1416.85449 1.1904 0.8544
1416.83923 1.1405 0.7427
1416.82397 1.2538 0.7176
1416.80872 1.0956 0.7089
1416.79346 1.0845 0.7226
1416.7782 0.9867 0.6144
1416.76294 1.156 0.8215
1416.74768 1.1454 0.7464
1416.73242 1.084 0.7566
1416.71716 1.1216 0.6926
1416.7019 1.1443 0.7418
1416.68665 1.1414 0.829
1416.67139 1.1419 0.7124
1416.65613 1.1706 0.5242
1416.64087 1.0756 0.6476
1416.62561 1.1196 0.6596
1416.61035 1.0874 0.7169
1416.59509 1.0867 0.7116
1416.57983 1.1155 0.7485
1416.56458 1.2216 0.6491
1416.54932 1.1239 0.8073
1416.53406 1.1326 0.6972
1416.5188 1.1538 0.7956
1416.50354 1.0476 0.7357
1416.48828 1.2304 0.7802
1416.47302 1.0408 0.6121
1416.45776 1.24 0.6239
1416.4425 1.073 0.6179
1416.42725 1.1234 0.7205
1416.41199 1.1443 0.6264
1416.39673 1.1005 0.6428
1416.38147 1.0318 0.597
1416.36621 0.9867 0.6345
1416.35095 1.0038 0.5777
1416.33569 1.0165 0.6946
1416.32043 1.087 0.6556
1416.30518 1.1125 0.7144
1416.28992 1.1121 0.622
1416.27466 1.0657 0.6093
1416.2594 1.0963 0.6934
1416.24414 1.0807 0.7029
1416.22888 1.1575 0.6736
1416.21362 1.1935 0.7307
1416.19836 1.1167 0.7209
1416.18311 1.1073 0.8069
1416.16785 1.1448 0.86
1416.15259 1.1897 0.8066
1416.13733 1.2919 0.9165
1416.12207 1.2447 0.808
1416.10681 1.2023 0.8245
1416.09155 1.1117 0.8929
1416.07629 1.3074 0.8379
1416.06104 1.1756 0.8372
1416.04578 1.1969 0.8477
1416.03052 1.1595 0.8223
1416.01526 1.3438 0.8122
1416.0 2.3359 0.7175
1415.98474 3.3281 0.6351
1415.96948 0.8809 0.4082
1415.95422 0.9583 0.5575
1415.93896 0.9481 0.4834
1415.92371 0.9449 0.4691
1415.90845 0.9291 0.4048
1415.89319 0.9062 0.3324
1415.87793 0.8733 0.4604
1415.86267 0.9319 0.3622
1415.84741 0.9915 0.3712
1415.83215 1.0398 0.5089
1415.81689 0.941 0.3839
1415.80164 0.8134 0.4469
1415.78638 0.9743 0.5167
1415.77112 0.9871 0.5665
1415.75586 0.9966 0.3704
1415.7406 1.054 0.5054
1415.72534 1.0233 0.5026
1415.71008 1.1138 0.3823
1415.69482 1.0433 0.651
1415.67957 0.8984 0.5065
1415.66431 0.9628 0.4766
1415.64905 0.9785 0.5465
1415.63379 0.9722 0.6175
1415.61853 1.0016 0.5197
1415.60327 0.9011 0.5489
1415.58801 0.9734 0.5632
1415.57275 0.9717 0.4559
1415.5575 0.9108 0.5843
1415.54224 0.8805 0.5148
1415.52698 0.9146 0.6298
1415.51172 1.0768 0.6044
1415.49646 0.8634 0.5758
1415.4812 1.0287 0.6254
1415.46594 0.8199 0.5105
1415.45068 0.9383 0.6864
1415.43542 0.9837 0.5988
1415.42017 0.9115 0.699
1415.40491 1.027 0.6266
1415.38965 1.0273 0.5713
1415.37439 1.0597 0.683
1415.35913 0.9738 0.6174
1415.34387 1.0584 0.7074
1415.32861 1.0826 0.738
1415.31335 1.0773 0.7684
1415.2981 1.0253 0.8329
1415.28284 1.1361 0.7223
1415.26758 1.1186 0.7939
1415.25232 1.0032 0.9118
1415.23706 1.1099 0.857
1415.2218 1.1692 0.8859
1415.20654 1.0132 1.0356
1415.19128 1.1911 0.7339
1415.17603 1.1299 0.8923
1415.16077 1.0989 0.8531
1415.14551 1.1193 0.8698
1415.13025 1.0334 0.9339
1415.11499 1.0802 0.8411
1415.09973 1.1382 0.9114
1415.08447 1.0814 0.9346
1415.06921 0.9751 1.0217
1415.05396 1.0532 0.9698
1415.0387 0.9595 0.9677
1415.02344 1.125 0.8916
1415.00818 0.9947 0.9592
1414.99292 1.0479 1.0024
1414.97766 0.9953 1.0238
1414.9624 1.0226 0.9569
1414.94714 1.0976 0.9949
1414.93188 1.1167 1.037
1414.91663 1.146 0.9246
1414.90137 1.0255 1.0815
1414.88611 1.1123 1.0097
1414.87085 1.0924 0.9972
1414.85559 1.2144 1.1033
1414.84033 1.1525 1.184
1414.82507 1.0512 1.1361
1414.80981 1.1444 1.1317
1414.79456 1.1203 1.2187
1414.7793 1.0606 1.137
1414.76404 1.1381 1.3049
1414.74878 1.1447 1.1632
1414.73352 1.0645 1.1505
1414.71826 1.2064 1.3047
1414.703 1.1198 1.1314
1414.68774 1.1401 1.1222
1414.67249 1.1354 1.3268
1414.65723 1.092 1.2097
1414.64197 1.1612 1.1592
1414.62671 1.1188 1.2558
1414.61145 1.155 1.3787
1414.59619 1.2081 1.3058
1414.58093 1.1337 1.3714
1414.56567 1.0839 1.3748
1414.55042 1.094 1.2734
1414.53516 1.1794 1.2815
1414.5199 1.2898 1.3814
1414.50464 1.1623 1.2381
1414.48938 1.2105 1.3581
1414.47412 1.1625 1.3575
1414.45886 1.247 1.3699
1414.4436 1.2377 1.3856
1414.42834 1.2923 1.4724
1414.41309 1.2505 1.5018
1414.39783 1.3405 1.4855
1414.38257 1.1763 1.5195
1414.36731 1.1745 1.5175
1414.35205 1.2424 1.5228
1414.33679 1.2951 1.4283
1414.32153 1.2498 1.4659
1414.30627 1.1603 1.5918
1414.29102 1.2505 1.5042
1414.27576 1.1936 1.5228
1414.2605 1.2569 1.5446
1414.24524 1.2966 1.4623
1414.22998 1.1251 1.4399
1414.21472 1.179 1.4489
1414.19946 1.2283 1.5394
1414.1842 1.1734 1.3909
1414.16895 1.3219 1.6346
1414.15369 1.3263 1.5318
1414.13843 1.3491 1.6935
1414.12317 1.2153 1.6121
1414.10791 1.3283 1.7579
1414.09265 1.3162 1.5915
1414.07739 1.2203 1.7279
1414.06213 1.2144 1.7206
1414.04688 1.361 1.5758
1414.03162 1.3291 1.6005
1414.01636 1.3061 1.6724
1414.0011 1.4156 1.704
1413.98584 1.3119 1.737
1413.97058 1.1887 1.7959
1413.95532 1.2223 1.5574
1413.94006 1.2759 1.6465
1413.9248 1.2583 1.6644
1413.90955 1.3081 1.7635
1413.89429 1.2903 1.6779
1413.87903 1.3851 1.6517
1413.86377 1.2802 1.7243
1413.84851 1.1675 1.8163
1413.83325 1.3437 1.6373
1413.81799 1.2582 1.7765
1413.80273 1.1881 1.8706
1413.78748 1.261 1.6966
1413.77222 1.3097 1.8247
1413.75696 1.346 1.8251
1413.7417 1.3245 1.7035
1413.72644 1.3019 1.8778
1413.71118 1.2959 1.7341
1413.69592 1.3629 1.7313
1413.68066 1.3622 1.7496
1413.66541 1.2845 1.7836
1413.65015 1.3115 1.6424
1413.63489 1.4765 1.8299
1413.61963 1.4202 1.7511
1413.60437 1.2689 1.7481
1413.58911 1.3514 1.9553
1413.57385 1.3932 1.7782
