# FILENAME=Skynet_59472_ngc4565_group2_62118_10948.A.onoff.cal.txt
# BASENAME=Skynet_59472_ngc4565_group2_62118_10948
# CONTROL=SKYNET
# PROJCODE=Skynet_59472_ngc4565_group2_62118
# DATAROOT=/raid/scratch/cyborg/SkynetData
# DATADIR=/raid/scratch/cyborg
# DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59472_ngc4565_group2_621
# SCANNAME=2019_06_26_10
# SRC_NAME=ngc4565_group2
# OBSERVER=sdss2_39397
# DATE_OBS=2021-09-15T19:55:05.190
# OBSID=62118
# SCANNUM=10948
# MJD=59472.8299212
# UTC=71705
# SCANTYPE=onoff
# DATAMODE=HIRES
# RECEIVER=Rx1_2
# OBSFREQ=1414.6000
# Actual_FREQ1=1660.2000,
# Actual_FREQ2=1410.2000
# LO1Tuning=6985.2000
# RFFILTER=1300_1800
# OBSBW=-15.6250
# EFFBANDW=15.6250
# NCHAN=1024
# STARTCHAN=51
# STOPCHAN=972
# TINT=0.3000
# TBIN=0.00419430
# ACCLEN=2048
# DURATION=409.20
# EXPOSURE=389.05
# FOCUS=37.071
# RA,DEC=12:36:24.39, 25:59:14.67
# RA(deg)=190.75603
# DEC(deg)=25.98742
# WIDTH(deg)=3.0189x0.0179
# AZIM(deg)=244.3261
# ELEV(deg)=66.2576
# COORDREF=RA_DEC_
# HREF=189.0870
# VREF=25.9874
# RADESYS=FK5
# OFFSYS=RADEC
# EQUINOX=2000.00
# IFATTENS=29.00, 14.00
# BALANCELEV=1.200
# POWER_XLYR=[1.0, 1.22]
# VELDEF=RADI-OBS
# VELOCITY=0.000
# NPOL=2
# POLMODE=Linear
# POLTYPE=XXYY
# WARNING=None
# NOISECAL=HI
# PRECAL=2
# POSTCAL=2
# CRYOTEMP=17
# BOXTEMP=29
# TSYS=XX1:83.66, YY1:108.44
# TSYS=XX2:110.67, YY2:163.45
# TCAL=XX1:9.42, YY1:11.79
# TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra: Tsys*(ON-OFF)/OFF
# 
# 
# Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2
col1 col2 col3
1417.2343 0.2704 -0.3978
1417.21904 0.4862 -0.5427
1417.20378 0.263 -0.475
1417.18853 0.3582 -0.5395
1417.17327 0.358 -0.7713
1417.15801 0.5377 -0.9745
1417.14275 0.3128 -0.9676
1417.12749 0.5249 -1.1423
1417.11223 0.332 -0.7853
1417.09697 0.5641 -0.9475
1417.08171 0.3254 -1.2171
1417.06646 0.3056 -1.0359
1417.0512 0.4616 -1.0733
1417.03594 0.3456 -1.1529
1417.02068 0.3382 -1.1825
1417.00542 0.4878 -1.2376
1416.99016 0.4088 -1.5122
1416.9749 0.1979 -1.3339
1416.95964 0.3765 -1.3927
1416.94438 0.4471 -1.6234
1416.92913 0.5154 -1.5527
1416.91387 0.5175 -1.6176
1416.89861 0.3568 -1.5737
1416.88335 0.37 -1.7428
1416.86809 0.4441 -1.3578
1416.85283 0.4314 -1.7021
1416.83757 0.3766 -1.7859
1416.82231 0.2848 -1.8286
1416.80706 0.4449 -1.9783
1416.7918 0.3744 -1.9781
1416.77654 0.2567 -2.1171
1416.76128 0.4102 -2.088
1416.74602 0.3883 -2.0571
1416.73076 0.3189 -2.0932
1416.7155 0.525 -2.0433
1416.70024 0.4119 -2.2943
1416.68499 0.2365 -2.3565
1416.66973 0.5907 -1.9929
1416.65447 0.355 -2.1443
1416.63921 0.3505 -2.5397
1416.62395 0.496 -2.3233
1416.60869 0.457 -2.3678
1416.59343 0.565 -2.5377
1416.57817 0.4634 -2.391
1416.56292 0.2252 -2.7996
1416.54766 0.3255 -2.3245
1416.5324 0.4497 -2.7003
1416.51714 0.3586 -2.5946
1416.50188 0.4136 -2.8761
1416.48662 0.3898 -2.6718
1416.47136 0.4322 -2.8754
1416.4561 0.3921 -2.5946
1416.44084 0.3837 -2.6224
1416.42559 0.3279 -2.4715
1416.41033 0.4172 -2.6705
1416.39507 0.4911 -2.8037
1416.37981 0.6366 -3.0246
1416.36455 0.4173 -2.8835
1416.34929 0.3191 -3.0589
1416.33403 0.2455 -3.2264
1416.31877 0.2169 -3.0925
1416.30352 0.3009 -3.313
1416.28826 0.44 -3.0129
1416.273 0.2355 -3.3356
1416.25774 0.537 -3.0627
1416.24248 0.3676 -3.3554
1416.22722 0.3658 -3.1478
1416.21196 0.3759 -3.1608
1416.1967 0.3081 -3.3821
1416.18145 0.2995 -3.0935
1416.16619 0.5164 -3.5381
1416.15093 0.3206 -3.4644
1416.13567 0.516 -3.5631
1416.12041 0.44 -3.4476
1416.10515 0.2758 -3.2925
1416.08989 0.3888 -3.5463
1416.07463 0.4208 -3.5531
1416.05938 0.4209 -3.332
1416.04412 0.2943 -3.5222
1416.02886 0.3739 -3.428
1416.0136 0.3763 -3.4992
1415.99834 0.2377 -3.5936
1415.98308 0.2253 -3.7183
1415.96782 0.4242 -3.6575
1415.95256 0.413 -3.6956
1415.9373 0.3321 -3.7686
1415.92205 0.3116 -3.5275
1415.90679 0.3268 -3.7007
1415.89153 0.2843 -3.8575
1415.87627 0.4048 -3.6421
1415.86101 0.2185 -3.7784
1415.84575 0.3837 -3.6015
1415.83049 0.2241 -3.8549
1415.81523 0.4283 -3.7249
1415.79998 0.3514 -3.456
1415.78472 0.5022 -3.65
1415.76946 0.5147 -3.5
1415.7542 0.6849 -3.1591
1415.73894 0.3467 -3.7199
1415.72368 0.5194 -3.6083
1415.70842 0.3136 -3.8947
1415.69316 0.4544 -3.5617
1415.67791 0.4889 -3.7967
1415.66265 0.4023 -3.5616
1415.64739 0.4156 -3.7589
1415.63213 0.2908 -3.6335
1415.61687 0.3205 -3.6958
1415.60161 0.3439 -3.7842
1415.58635 0.2608 -3.901
1415.57109 0.3502 -3.7387
1415.55583 0.1621 -3.8205
1415.54058 0.5602 -3.6477
1415.52532 0.3998 -3.7651
1415.51006 0.2528 -3.9175
1415.4948 0.372 -3.7065
1415.47954 0.3424 -3.7647
1415.46428 0.2724 -3.9317
1415.44902 0.3743 -3.9607
1415.43376 0.1753 -3.9271
1415.41851 0.211 -3.8918
1415.40325 0.2457 -3.7659
1415.38799 0.2722 -3.8899
1415.37273 0.2093 -4.0363
1415.35747 0.2623 -4.1279
1415.34221 0.1406 -4.0326
1415.32695 0.2103 -3.9005
1415.31169 0.1667 -3.7672
1415.29644 0.2753 -3.9528
1415.28118 0.2029 -4.0332
1415.26592 0.1652 -4.2739
1415.25066 0.0572 -3.7419
1415.2354 0.1761 -4.1953
1415.22014 0.1371 -3.751
1415.20488 0.3715 -3.933
1415.18962 0.2161 -3.9984
1415.17437 0.1764 -3.8948
1415.15911 0.3424 -3.9219
1415.14385 0.1667 -3.8684
1415.12859 0.3718 -3.9155
1415.11333 0.1014 -4.1172
1415.09807 0.2539 -3.7379
1415.08281 0.0869 -3.797
1415.06755 0.3415 -3.6705
1415.05229 0.4122 -3.9704
1415.03704 0.1982 -3.6383
1415.02178 0.1204 -3.7339
1415.00652 0.2506 -3.9202
1414.99126 0.16 -3.6454
1414.976 0.0426 -3.7975
1414.96074 0.0699 -3.7358
1414.94548 0.1287 -3.7485
1414.93022 0.0369 -3.9486
1414.91497 0.1568 -3.9853
1414.89971 0.1217 -3.8071
1414.88445 0.2428 -3.8939
1414.86919 -0.0497 -3.7007
1414.85393 0.1277 -3.9092
1414.83867 -0.0059 -3.5903
1414.82341 0.108 -3.9272
1414.80815 0.0028 -3.6078
1414.7929 -0.0477 -3.5699
1414.77764 -0.01 -3.9322
1414.76238 0.0116 -3.7333
1414.74712 0.1606 -3.7969
1414.73186 0.1228 -3.5799
1414.7166 0.0803 -3.4347
1414.70134 -0.0715 -3.7561
1414.68608 0.085 -3.5104
1414.67083 -0.0663 -3.6893
1414.65557 0.0175 -3.7488
1414.64031 0.1622 -3.6897
1414.62505 0.0275 -3.6558
1414.60979 0.0818 -3.7596
1414.59453 0.0164 -3.5372
1414.57927 -0.0335 -3.6006
1414.56401 0.0279 -3.3887
1414.54875 0.0185 -3.4434
1414.5335 -0.1483 -3.5622
1414.51824 0.0002 -3.3398
1414.50298 -0.0686 -3.5274
1414.48772 -0.042 -3.303
1414.47246 -0.0827 -3.2983
1414.4572 -0.1833 -3.2229
1414.44194 -0.0362 -3.1972
1414.42668 -0.1293 -3.2163
1414.41143 -0.1898 -3.2404
1414.39617 -0.0457 -3.1973
1414.38091 0.0745 -3.2969
1414.36565 0.045 -2.9754
1414.35039 -0.0755 -2.9931
1414.33513 -0.0484 -3.0851
1414.31987 0.0468 -3.0922
1414.30461 -0.0396 -2.9901
1414.28936 -0.02 -3.0265
1414.2741 -0.0706 -2.9332
1414.25884 -0.0404 -2.7773
1414.24358 0.0623 -3.0637
1414.22832 0.0377 -2.9302
1414.21306 -0.0611 -2.6452
1414.1978 0.1094 -2.9102
1414.18254 0.0677 -2.7975
1414.16729 -0.0463 -2.651
1414.15203 -0.0511 -2.7034
1414.13677 -0.0515 -2.8215
1414.12151 -0.1388 -2.7939
1414.10625 -0.0536 -2.548
1414.09099 -0.109 -2.9075
1414.07573 -0.0911 -2.7008
1414.06047 -0.1018 -2.5888
1414.04521 0.0359 -2.5135
1414.02996 -0.1333 -2.4983
1414.0147 -0.0451 -2.6081
1413.99944 -0.1028 -2.4909
1413.98418 -0.141 -2.4263
1413.96892 -0.3139 -2.5459
1413.95366 -0.1351 -2.0888
1413.9384 -0.1629 -2.2996
1413.92314 -0.1948 -2.1976
1413.90789 -0.1352 -2.3112
1413.89263 -0.1113 -2.2029
1413.87737 -0.1125 -2.2804
1413.86211 -0.119 -2.2041
1413.84685 -0.0925 -2.2019
1413.83159 -0.1878 -2.3573
1413.81633 -0.1256 -2.0899
1413.80107 -0.2978 -1.856
1413.78582 -0.1151 -2.0651
1413.77056 -0.184 -2.1053
1413.7553 -0.0828 -1.9171
1413.74004 -0.1573 -1.6296
1413.72478 -0.1485 -1.818
1413.70952 -0.1468 -1.5068
1413.69426 -0.2336 -2.0806
1413.679 -0.0005 -1.7858
1413.66375 -0.123 -1.5972
1413.64849 -0.1761 -1.5795
1413.63323 -0.0232 -1.7446
1413.61797 -0.179 -1.5084
1413.60271 -0.0911 -1.6336
1413.58745 -0.0469 -1.1456
1413.57219 -0.0441 -1.2057
1413.55693 -0.1605 -1.3199
1413.54167 -0.0281 -1.2877
1413.52642 -0.0764 -1.0563
1413.51116 -0.1127 -1.0551
1413.4959 -0.2153 -1.0331
1413.48064 -0.0937 -1.0395
1413.46538 -0.0735 -1.0284
1413.45012 -0.1597 -1.1415
1413.43486 -0.1499 -1.3029
1413.4196 -0.2296 -0.9807
1413.40435 -0.4475 -1.0788
1413.38909 -0.3932 -1.0843
1413.37383 -0.3292 -1.0896
1413.35857 -0.3324 -1.1854
1413.34331 -0.2347 -0.9769
1413.32805 -0.418 -1.0284
1413.31279 -0.316 -1.2468
1413.29753 -0.4813 -0.9695
1413.28228 -0.3991 -0.9983
1413.26702 -0.3878 -1.012
1413.25176 -0.2597 -1.0016
1413.2365 -0.3426 -0.8301
1413.22124 -0.4102 -1.0403
1413.20598 -0.4092 -0.8801
1413.19072 -0.4436 -0.7033
1413.17546 -0.2658 -0.8575
1413.16021 -0.2756 -0.8515
1413.14495 -0.3482 -0.7537
1413.12969 -0.2547 -0.8605
1413.11443 -0.4131 -0.6432
1413.09917 -0.446 -0.8337
1413.08391 -0.2755 -0.5194
1413.06865 -0.3391 -0.7283
1413.05339 -0.4605 -0.5557
1413.03813 -0.3564 -0.7729
1413.02288 -0.3282 -0.31
1413.00762 -0.4068 -0.4276
1412.99236 -0.478 -0.4511
1412.9771 -0.3592 -0.3837
1412.96184 -0.4127 -0.1602
1412.94658 -0.2924 -0.4606
1412.93132 -0.418 -0.145
1412.91606 -0.4164 -0.193
1412.90081 -0.3713 -0.4918
1412.88555 -0.5676 -0.3673
1412.87029 -0.4292 -0.2234
1412.85503 -0.5357 -0.1421
1412.83977 -0.3901 0.0099
1412.82451 -0.4379 -0.0298
1412.80925 -0.5763 -0.1435
1412.79399 -0.5144 -0.0609
1412.77874 -0.4542 0.1682
1412.76348 -0.5018 -0.0141
1412.74822 -0.4531 0.1579
1412.73296 -0.4443 -0.2104
1412.7177 -0.4338 0.2045
1412.70244 -0.3861 0.0494
1412.68718 -0.3977 0.1015
1412.67192 -0.4464 0.1691
1412.65667 -0.4784 -0.0111
1412.64141 -0.3982 0.2001
1412.62615 -0.4731 0.2548
1412.61089 -0.5061 0.1836
1412.59563 -0.4191 0.1809
1412.58037 -0.4703 0.0704
1412.56511 -0.4936 0.488
1412.54985 -0.5011 0.0919
1412.53459 -0.4701 0.0547
1412.51934 -0.2533 0.341
1412.50408 -0.5031 -0.0611
1412.48882 -0.4118 0.3391
1412.47356 -0.4868 -0.0378
1412.4583 -0.5233 0.4077
1412.44304 -0.4315 0.2742
1412.42778 -0.2996 0.367
1412.41252 -0.3942 0.302
1412.39727 -0.4213 0.4532
1412.38201 -0.4449 0.4342
1412.36675 -0.578 0.2488
1412.35149 -0.594 0.6006
1412.33623 -0.4341 0.4274
1412.32097 -0.3914 0.4137
1412.30571 -0.4569 0.2871
1412.29045 -0.4618 0.5174
1412.2752 -0.495 0.4394
1412.25994 -0.4884 0.5873
1412.24468 -0.2692 0.5599
1412.22942 -0.4873 0.2138
1412.21416 -0.4097 0.399
1412.1989 -0.4856 0.5977
1412.18364 -0.433 0.552
1412.16838 -0.4635 0.557
1412.15313 -0.3757 0.681
1412.13787 -0.4251 0.4945
1412.12261 -0.5675 0.3197
1412.10735 -0.487 0.3725
1412.09209 -0.5741 0.5329
1412.07683 -0.546 0.458
1412.06157 -0.4527 0.3085
1412.04631 -0.5462 0.6486
1412.03105 -0.5746 0.5171
1412.0158 -0.4623 0.5923
1412.00054 -0.5568 0.3986
1411.98528 -0.603 0.4575
1411.97002 -0.3829 0.392
1411.95476 -0.4741 0.6439
1411.9395 -0.4383 0.5268
1411.92424 -0.5854 0.4061
1411.90898 -0.4284 0.2978
1411.89373 -0.3679 0.4153
1411.87847 -0.4048 0.567
1411.86321 -0.4036 0.081
1411.84795 -0.4014 0.4813
1411.83269 -0.5422 0.3095
1411.81743 -0.4863 0.4999
1411.80217 -0.3933 0.655
1411.78691 -0.5228 0.3937
1411.77166 -0.7428 0.3128
1411.7564 -0.5397 0.3083
1411.74114 -0.4331 0.3065
1411.72588 -0.4972 0.4659
1411.71062 -0.4145 0.4379
1411.69536 -0.5651 0.3702
1411.6801 -0.5875 0.173
1411.66484 -0.5667 0.2736
1411.64958 -0.56 0.3843
1411.63433 -0.4627 0.2388
1411.61907 -0.567 0.1061
1411.60381 -0.5157 -0.0478
1411.58855 -0.5601 0.0368
1411.57329 -0.5753 0.1527
1411.55803 -0.588 0.1678
1411.54277 -0.5137 -0.0201
1411.52751 -0.5691 -0.1424
1411.51226 -0.5285 -0.2765
1411.497 -0.4718 0.0037
1411.48174 -0.3402 0.2277
1411.46648 -0.478 0.0542
1411.45122 -0.5202 -0.1038
1411.43596 -0.4454 0.1139
1411.4207 -0.3516 -0.1496
1411.40544 -0.5152 -0.112
1411.39019 -0.3884 -0.0286
1411.37493 -0.5422 -0.3251
1411.35967 -0.5161 -0.2514
